name,symbol,category,chains,tvl,change_1d,change_7d,change_30d
ScorePlay.xyz,-,Prediction Market,"Sophon, Base",29.658545242093982,0.009034943692668662,0.00893362757739169,0.0
Structured LSD,SLSD,Yield,Ethereum,29.54929138898165,0.4187766324547795,-7.481388433283129,0.0
JellyBeanSwap,-,Dexs,Binance,29.285669327402257,1.1019259456906951,-2.3217758079825472,0.0
DTX Derivatives,-,Derivatives,"Blast, Taiko",29.167271570477343,0.4170342072657718,-9.471581137994562,0.0
TreeHouse Finance,LEAF,Yield,Avalanche,29.06203942303773,,,0.0
Unihedge,-,Prediction Market,Polygon,29.061169213421415,0.025048660119168176,-0.002266034634345715,0.0
ABcDeFX,-,Dexs,"Kucoin, Fantom, Kava, MultiVAC, Echelon",28.879777591901238,0.6428587958557017,-1.1159072368615455,0.0
t3rn Bridge,TRN,Bridge,"Arbitrum, Binance, Ethereum, Base, Unichain, Optimism, Linea",28.7595106380801,0.9705217546713101,-6.976246521877329,0.0
RubikFarm,RUBIK,Farm,Binance,28.643431107421804,0.3222084864407577,-0.3411914600928867,0.0
Veritable DAO,VRT,Yield,Polygon,28.634379317481198,0.1639003702684505,-5.74512215318714,0.0
BoomSwap,BOOM,Dexs,Binance,28.533388271236234,0.6954789302232172,-1.5330222521717616,0.0
SkullSwap V3,SKULL,Dexs,Fantom,28.44506925496357,-5.660688537938228,-20.69380146456851,0.0
SpiralDao,SPR,Yield,Ethereum,28.441607073866756,2.637484082090751,-7.768152420244576,0.0
BounceBit Ethena,-,Yield,Ethereum,28.16376979685973,0.03397034358923179,-0.04835161636937357,0.0
Quantum Unit,QU,Staking Pool,Binance,27.733083915257637,1.231831911723674,-2.5529426059480755,0.0
Redemption Finance,RDMP,Farm,Base,27.72809848749255,-0.01988515698847948,0.027070815640854562,0.0
LazyFi,-,Gaming,Near,27.719022543745748,-2.3462219997301474,-16.925272374051218,0.0
v2swap,-,Dexs,Op_Bnb,27.692065963693953,1.7548518420413757,-2.2238498047130406,0.0
Fastyield Finance,FAST,Yield Aggregator,Fantom,27.626196504479804,-8.519837831659643,-27.59569388212347,0.0
Ketchup Finance,KETCHUP,Yield,Binance,26.81140262484193,0.4204564044135708,-3.7787615122422125,0.0
iLend V1,-,Lending,Injective,26.49818373000369,-98.35287065035855,-98.62980662255869,0.0
ColaFactory,COLA,Farm,Pulse,26.0190340515969,0.5867840520940888,-0.30561958565805014,0.0
Vaultfire,-,AI Agents,"Base, Arbitrum, Avalanche, Polygon",25.98515335972054,0.894563274586659,-5.964258260061172,0.0
Wise Lending V2,-,Lending,"Ethereum, Arbitrum",25.702357139304848,0.06273867297390723,-2.3623194048178107,0.0
PRODUS,PRODUS,Dexs,Binance,25.67722915955215,-0.027946582211029636,-0.02514579992893573,0.0
Tren Finance,TREN,CDP,Arbitrum,25.633022446695655,-5.1990722866435135e-05,-0.029515252184779683,0.0
Compx Streaming,-,Payments,Algorand,25.492725688207532,-1.3923190658446458,-11.177072570570886,0.0
dVOL,-,Options Vault,"Binance, Arbitrum",25.283661599867514,,,0.0
Rush Sports,-,Prediction Market,Solana,25.07921304358686,6.711629195062514,3.0878711482759087,0.0
Mixoor,MIXOOR,Privacy,Solana,25.05073629702033,6.711629195062514,3.0878711482759087,0.0
JackCo,-,Yield Lottery,"Base, Ethereum, Polygon, Binance, Avalanche, Arbitrum, Optimism",24.989239386015097,0.008847254017723571,-0.006463081703032003,0.0
Defi Master,BST,Yield,Arbitrum,24.71848725073847,,,0.0
Omni Protocol,-,Lending,Ethereum,24.71523039619046,,,0.0
JioSwap,-,Dexs,"Meter, Ethereum, GodwokenV1",24.699053799777552,-6.282793200529326,-9.21762140934635,0.0
Coffin Finance,COFFIN,Algo-Stables,Fantom,24.599214127216147,-7.7777777777778,-25.671709187217218,0.0
Lexer Markets,LEX,Derivatives,Arbitrum,24.16715526063629,0.22862564340360336,-3.4823430927213366,0.0
Catalist DEX,CHURU,Dexs,Endurance,24.13488145517366,0.006262753930471376,-0.006618201555994574,0.0
RubyDex,-,Derivatives,"Ethereum, Optimism, Avalanche, Arbitrum, zkSync Era, Mantle, Polygon, Binance, Manta, Linea",24.107506887614285,0.005719846130247674,-0.0423975845571789,0.0
VinuFinance,VC,Lending,VinuChain,24.02666677207313,20.802193136596614,23.164682924539164,0.0
DegenHive Memepad,-,Launchpad,Sui,23.856000258463666,,,0.0
Dogium Farm,DOGIUM,Dexs,Dogechain,23.40496029201733,-0.03719013418131567,-11.408897148609213,0.0
